Category,Organization,Phone,Address,Website,Hours,ProgramName,ProgramDescription,Cost,EligibilityNotes,Veteran,Disability,Age,Gender
ADVOCACY,Central Iowa Center for Independent Living,515.243.1742,"655 Walnut st. DM, IA. ",http://www.centraliowacil.com/,General intake Wednesday 10am-Noon,Advocacy training,"CICIL provides personal advocacy assistance to people on an individual basis. CICIL advocates for civil and human rights for persons with disabilities on a local, state and federal level. CICIL provides self - advocacy training for individuals, and encourage persons with disabilities who feel they are experiencing discrimination to learn and use self-advocacy skills.",0,,N,N,N,N
ADVOCACY,Central Iowa Center for Independent Living,515.243.1742,"655 Walnut st. DM, IA.",http://www.centraliowacil.com/,General intake Wednesday 10am-Noon,Peer counseling/support groups,"CICIL will attempt to place individuals with similar disabilities in touch with one another for exploration of personal issues, problem-solving methods and discussion. A peer counselor is an individual with a disability who will share experiences, provide support and education and serve as a positive role model for the consumer. Through one-to-one or small group interactions, individuals will gain a better understanding of community resources, will gain access to new information on medical or emotional aspects of disability and will be encouraged to develop and maintain a positive self-image.",0,,N,N,N,N
ADVOCACY,Central Iowa Center for Independent Living,515.243.1742,"655 Walnut st. DM, IA.",http://www.centraliowacil.com/,General intake Wednesday 10am-Noon,Independent Living Skills Training,"Independent Living Specialists and consumers work together to develop a plan to outline independent living goals that the consumer wants to achieve. Skills training is provided to consumers in many of the following areas: Assistive equipment, Socialization skills, Health Care, Housing, Transportation, Financial and time management, Homemaking skills, Sexuality, Community resources, Educational opportunities, Recreation and leisure, Training is one-to-one at the office, in the consumer's home or in the community as appropriate. Independent living skills training will enable individuals with newly acquired disabilities to learn skills as necessary to live independently. Youth with disabilities will be assisted with the transition from school to independent living. Adults who have been living in a structured environment will be assisted to gain greater control over their lives. All consumers are encouraged and assisted with self-advocacy.",0,,N,N,N,N
FINANCIAL,Central Iowa Center for Independent Living,515.243.1742,"655 Walnut st. DM, IA.",http://www.centraliowacil.com/,General intake Wednesday 10am-Noon,Personal Assistance Resources,"As a service to its consumers, CICIL attempts to maintain up-to-date listings of individuals within the community willing to provide personal assistance services. This list is available at the CICIL offices, and provides leads necessary to begin looking for a personal assistant provider. CICIL will not recommend individuals for these positions, but staff is available to assist consumers with learning to recruit, hire, train and manage assistants. Training is also available for prospective personal assistants.",0,,N,N,N,N
HEALTHCARE,Central Iowa Center for Independent Living,515.243.1742,"655 Walnut st. DM, IA.",http://www.centraliowacil.com/,General intake Wednesday 10am-Noon,Donated Dental Service,"Dentists in Iowa have volunteered to provide comprehensive dental care at no charge to people of all ages who, because of a serious disability, advanced age, or medical problems, lack adequate income to pay for needed dental care. There are no rigid financial eligibility requirements.  Applicants must need more than routine care in order to qualify.  ",0,,N,N,N,N
ADVOCACY,Disability Rights Iowa,515.278.2502,400 East Court Ave. Suite 300,http://www.ipna.org/,,Protection and Advocacy for Individuals with Developmental Disabilities (PADD),"Disabilities that begin at or before birth, or during childhood (before age 22), are Developmental Disabilities.  Laws have been enacted to address the denial of equal opportunity.  We can help make sure these laws are enforced and that your rights are upheld.",0,,N,Y,N,N
ADVOCACY,Disability Rights Iowa,515.278.2502,400 East Court Ave. Suite 300,http://www.ipna.org/,,Protection and Advocacy for Individuals with Mental Illnesses (PAIMI),"Safeguard and protect the rights of individuals with mental illnesses who are currently in care and treatment-providing facilities, or who have been discharged from a care and treatment-providing facility within the past 90 days. Investigate and provide advocacy services for a variety of issues including: physical, sexual, or verbal abuse, inappropriate or excessive use of chemical or bodily restraints, failure to provide adequate discharge planning, inappropriate mental health or medical treatment, forced treatment without informed consent, denial of services or treatment, denial of due process.",0,"To be eligible for services in the PAIMI program, federal law requires that a person (1) have a significant mental illness or emotional impairment as determined by a mental health professional, and (2) currently reside or be an inpatient in a care or treatment-providing facility such as a mental health institute, public or private hospital, residential care facility, county care facility, group home, nursing home, homeless shelter, etc., or (3) have been discharged from a care and treatment-providing facility within the past 90 days.  There are no income requirements or age limits to be eligible for services under the PAIMI Program.  Services are free and statewide, as resources permit.",N,Y,N,N
ADVOCACY,Disability Rights Iowa,515.278.2502,400 East Court Ave. Suite 300,http://www.ipna.org/,,Protection and Advocacy for Individual Rights (PAIR),"Protection and Advocacy for Individual Rights to Iowans with severe disabilities or mental illnesses who experience discrimination in housing or employment, or who are an ethnic minority with a disability. When you call us, we will listen to your concerns and provide: information and referral, individual and systems advocacy, legal representation, P&A newsletter, complaint investigation, resource library, training and education to help you resolve your issues.",0,,N,Y,N,N
ADVOCACY,Disability Rights Iowa,515.278.2502,400 East Court Ave. Suite 300,http://www.ipna.org/,,Protection and Advocacy for Beneficiaries of Social Security (PABSS),"Iowa P&A's program (PABSS assists beneficiaries/recipients of SSDI and/or SSI with return-to-work issues. Types of issues which Iowa P&A may assist: Employment discrimination, Reasonable accommodations, Disputes with: IVRS-Vocational Rehabilitation (CAP), Employment Networks, Work Incentive Planning and Assistance, Iowa Workforce Development, Overpayments resulting from work income only, General information on Ticket to Work and work incentives, Referrals to appropriate resources.",0,"To qualify for PABSS services, there are two criteria: 1.  Must be a current SSDI or SSI beneficiary or within 30 days of termination of benefits. 2.  The issue must be about a barrier to employment.  ",N,N,N,N
HEALTHCARE,Iowa Legal Aid,515.243.2151,"1111 9th Street, Suite 230, Des Moines, IA 50314",http://www.iowalegalaid.org/ia/homepage.html,"To apply for help, call 1-800-532-1275 Monday-Friday from 9 to 11 am or from 1:30 to 3:30 pm except Thursday. ",Disability,,,,N,Y,N,N
